# JL 03/27/2017,,,,,,,,,,,,,,,
ID,Type,Line,Intensity,Mosaic,Segments,,,,,,,,,,
syIs300 w9,Effector,C,14.44568552,2,0,,,,,,,,,,
syIs300 w10,Effector,C,12.43799103,2,0,,,,,,,,,,
syIs300 w11,Effector,C,12.40582846,2,0,,,,,,,,,,
syIs300 w12,Effector,C,11.09305263,2,0,,,,,,,,,,
syIs300 w13,Effector,C,16.39356805,2,0,,,,,,,,,,
syIs300 w14,Effector,C,13.43301517,2,0,,,,,,,,,,
syIs300 w15,Effector,C,9.919251109,2,0,,,,,,,,,,
syIs300 w16,Effector,C,8.698075639,2,0,,,,,,,,,,
syIs300 w17,Effector,C,8.909990563,2,0,,,,,,,,,,
syIs300 w18,Effector,C,9.403284772,2,0,,,,,,,,,,
syIs300 w19,Effector,C,11.76079169,2,0,,,,,,,,,,
syIs300 w20,Effector,C,9.241807176,2,0,,,,,,,,,,
syIs300 w21,Effector,C,8.858941909,2,0,,,,,,,,,,
syIs300 w22,Effector,C,13.02710955,2,0,,,,,,,,,,
syIs300 w23,Effector,C,15.16553779,2,0,,,,,,,,,,
